Sl no.,Substrate used,Substrate type,COD(mg/L),Substrate concentration (g/L),Influent pH,Temperature (°C),Inoculum Specific,inoculum type(pure vs mixed),reactor type,HRT or Reaction Time(h),Biohydrogen yield(L H₂/L/day),paper 
31,Citrus peel waste,Food & Municipal Waste,"30,000",26,7,37,Citrus peel fermentation waste.,Mixed Consortia (F),Continuous,24,0.84,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
32,Crude glycerol,Sugar & Dairy By-products,"20,000",23,5.5,37,Glycerol-fed anaerobic sludge.,Mixed Consortia (W),Continuous,12,3.94,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
33,Apple pulp waste,Food & Municipal Waste,"100,000",50,7.2,37,Apple pulp waste fermentation residue.,Mixed Consortia (P),Continuous,12,0.29,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit40 ​
34,Poplar leaves,Lignocellulosic/Agri-Residue,"200,000",40,6.5,35,Enterobacter isolated from poplar leaves.,Pure Strain (L),Continuous,12,0.05,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit64 ​
35,Peanut shell,Lignocellulosic/Agri-Residue,"12,000",12,4.93,60,Peanut shell anaerobic digester sludge.,Mixed Consortia (P),Continuous,24,0.58,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit66 ​
36,Acidic cheese whey,Sugar & Dairy By-products,"309,000",45,5,55,Clostridium/Lactobacillus from acidic cheese whey.,Pure Strain (L),Continuous,12,3.2,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit67 ​
37,Sugarcane biorefineries,Industrial Wastewater,"75,000",30,5.5,55,Sugarcane biorefinery waste sludge.,Mixed Consortia (P),Continuous,12,3.63,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit2 ​
38,Pig manure,Industrial Wastewater,"6,500",20,5.5,35,Enterobacter isolated from pig manure.,Pure Isolate (A),Batch,48,0.158,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit68 ​
39,Waste molasses,Sugar & Dairy By-products,"70,000",35,5.7,60,Industrial molasses fermentation sludge.,Mixed Consortia (P),Continuous,12,0.417,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit69 ​
40,Sewage sludge & wine vinasse,Industrial Wastewater,"51,400",25,5.5,55,Sewage sludge blended with wine vinasse.,Mixed Consortia (W),Continuous,24,0.879,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit70 ​
41,Catering waste,Food & Municipal Waste,"91,500",40,6.5,27,Catering/kitchen waste anaerobic sludge.,Mixed Consortia (F),Continuous,24,3.84,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit71 ​
42,Xylose,Pure,"21,610",22,7.5,30,Xylose-utilizing Lactobacillus isolate.,Pure Strain (L),Continuous,12,1.331,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit72 ​
43,Rice straw,Lignocellulosic/Agri-Residue,"20,000",20,6.5,55,Rice straw compost / decaying vegetation.,Mixed Consortia (P),Batch,72,1.27,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit73 ​
44,Pre-settled paper mill effluent,Industrial Wastewater,"27,350",25,7,37,Activated sludge from paper and pulp mill.,Mixed Consortia (W),PBR,24,6.21,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit14 ​
45,Traditional Chinese medicine wastewater,Industrial Wastewater,"328,200",50,6.6,37,C. butyricum from TCM wastewater.,Pure Strain (L),AnPBR,12,0.68,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit95 ​
46,Glucose (PBR),Pure,"60,000",45,5.7,35,Anaerobic Fluidized Bed Reactor (AFBR) sludge.,Mixed Consortia (W),PBR,4,155.8,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit97 ​
47,Diluted grape deposits,Industrial Wastewater,"2,000",2,5,37,Winery wastewater / grape deposit sediment.,Mixed Consortia (W),Continuous,24,4.5,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit105 ​
48,Mixed sugar (MBR polyester),Sugar & Dairy By-products,"2,630",10,5.2,37,Lab stock C. pasteurianum (MBR).,Pure Strain (L),MBR,12,0.884,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit17 ​
49,Glucose (MBR stainless steel),Pure,"2,990",12,5.2,37,Lab stock C. puniceum (MBR).,Pure Strain (L),MBR,12,1.239,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit17 ​
50,Glucose (C. butyricum),Pure,"21,660",22,5.7,37,Lab culture C. butyricum (DSM 10702).,Pure Strain (L),Continuous,12,2.216,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k#cit107 ​
51,Sucrose-rich WW,Sugar & Dairy By-products,"4,000",4,4.2,39,Acclimatized mixed sludge,Mixed (W),Continuous,12,0.232,https://www.mdpi.com/2227-9717/10/1/156#Materials_and_Methods
52,Glucose,Pure,"15,000",15,5.7,35,Heat-Shocked sewage sludge,Mixed (W),Continuous,6,1.068,https://www.mdpi.com/2227-9717/10/1/156#Materials_and_Methods
53,Lactate Wastewater,Industrial Wastewater,"12,500",10,8.5,45,Specialized lactate-utlizers,Mixed (W),Batch,180,0.85,https://www.mdpi.com/2227-9717/10/1/156#Materials_and_Methods
54,Cassava wastewater,Industrial Wastewater,"14,000",12,5.5,28,Anaerobic Fluidized Bed Reactor (AFBR) sludge.,Mixed (W),AFBR,2,39.19,https://www.mdpi.com/2227-9717/10/1/156#Materials_and_Methods
55,Organic household,Food & Municipal Waste,"100,000",85,7,70,Hyper-thermophilic consortia,Mixed (F),Batch,144,0.35,https://www.mdpi.com/2227-9717/10/1/156#Materials_and_Methods
56,Mixed Food Waste,Food & Municipal Waste,"186,670",186,5.7,50,Anaerobic Sludge,Mixed (W),Batch,44,1.72,https://www.sciencedirect.com/science/article/abs/pii/S036031990800832X?via%3Dihub
57,Mixed Food Waste,Food & Municipal Waste,"186,670",186,5,50,Anaerobic Sludge,Mixed (W),Batch,44,0.84,https://www.sciencedirect.com/science/article/abs/pii/S036031990800832X?via%3Dihub
58,Mixed Food Waste,Food & Municipal Waste,"186,670",186,5.7,35,Anaerobic Sludge,Mixed (W),Batch,44,1.06,https://www.sciencedirect.com/science/article/abs/pii/S036031990800832X?via%3Dihub
59,Rice Waste,Food & Municipal Waste,"140,000",8,5.5,35,Sewage sludge ,Mixed (W),Batch,10,0.79,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
60,Fish Waste,Food & Municipal Waste,"185,000",8,5.5,35,Sewage sludge ,Mixed (W),Batch,5,0.42,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
61,Vegetable Waste,Food & Municipal Waste,"110,000",8,5.5,35,Sewage sludge ,Mixed (W),Batch,4,0.32,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
62,Mixed Food Waste,Food & Municipal Waste,"160,000",8,5.5,35,Sewage sludge ,Mixed (W),Batch,7,0.99,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
63,Rice Straw (Chem),Lignocellulosic/Agri-Residue,"21,300",20,5.8,55,Anaerobic Sludge,Mixed (W),Batch,36,1.27,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
64,Rice Straw (Chem),Lignocellulosic/Agri-Residue,"21,300",20,5.8,55,Anaerobic Sludge,Mixed (W),Batch,47,0.86,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
65,Rice Straw (Chem),Lignocellulosic/Agri-Residue,"21,300",20,5.8,37,Anaerobic Sludge,Mixed (W),Batch,44,0.65,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
66,Rice Straw (Chem),Lignocellulosic/Agri-Residue,"21,300",20,5.8,37,Anaerobic Sludge,Mixed (W),Batch,46,0.48,https://www.ukm.my/jsm/pdf_files/SM-PDF-43-12-2014/15%20Osuagwu.pdf
67,Palm oil mill effluent,Industrial Wastewater,"20,000",12.5,5.5,35,"Anaerobic consortia (10,000 mg/L VSS)",Mixed Consortia,Batch,72,1.2 ​,https://onlinelibrary.wiley.com/doi/10.1002/clen.201700494 ​
68,Organic wastewater,Industrial Wastewater,"4,000",4,5.5,35,Mixed sludge,Mixed Consortia,Continuous,8,1.12,https://pmc.ncbi.nlm.nih.gov/articles/PMC9485808/ ​
69,Black cumin waste extract,Sugar & Dairy By-products,"8,500",8.5,5.3,37,Mixed culture,Mixed Consortia,Batch,12,3.5 ​,https://pmc.ncbi.nlm.nih.gov/articles/PMC10967988/ ​
70,OFMSW(Organic Fraction of Municipal Solid Waste),Food & Municipal Waste,"25,000",25,5.5,37,Mixed sludge,Mixed Consortia,Batch,72,0.07,https://pubmed.ncbi.nlm.nih.gov/38754561/ ​
71,Maltose,Pure,"10,000",10,6,80,Thermotoga maritima,Pure Strain,Batch,48,0.057,https://pmc.ncbi.nlm.nih.gov/articles/PMC6141405/ ​
72,Probiotic wastewater,Industrial Wastewater,"15,000",15,6,37,Mixed anaerobic consortia,Mixed Consortia,Batch,96,2.1 ​,https://www.sciencedirect.com/science/article/abs/pii/S0960148108001730 ​
73,Organic waste (non-pretreated),Food & Municipal Waste,"20,000",20,5.8,37,Anaerobic sludge,Mixed Consortia,Batch,120,0.28,https://cms.gnest.org/cest2025/p/cest202500193 ​
74,Organic waste (ultrasound pretreated),Food & Municipal Waste,"20,000",20,5.8,37,Anaerobic sludge,Mixed Consortia,Batch,120,0.24,https://cms.gnest.org/cest2025/p/cest202500193 ​
75,Sugarcane molasses,Sugar & Dairy By-products,"50,000",25,5.5,37,Mixed consortia,Mixed Consortia,Continuous,24,4.5 ​,https://pubs.acs.org/doi/10.1021/acs.iecr.3c01439
76,Glucose (HA enhanced),Pure,"5,000",5,6.5,35,Anoxic WWTP sludge,Mixed Consortia,Batch,72,3.13,https://pmc.ncbi.nlm.nih.gov/articles/PMC12197811/ ​
77,Food waste,Food & Municipal Waste,"30,000",30,5.5,37,Acclimated anaerobic sludge,Mixed Consortia,Batch,72,0.35,https://discovery.researcher.life/article/insights-into-biohydrogen-production-through-dark-fermentation-of-food-waste-substrate ​
78,Distillery wastewater,Industrial Wastewater,"45,000",22.5,5.8,35,Granular anaerobic sludge,Mixed Consortia,ABR,24,1.45,https://www.sciencedirect.com/science/article/pii/S0360319923039010 ​
79,Sugarcane bagasse + DW,Lignocellulosic/Agri-Residue,"18,000",9,6,37,Anaerobic fermentor sludge,Mixed Consortia,Batch,96,2.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11511797/ ​
80,Livestock wastewater,Industrial Wastewater,"5,700",5.7,6.2,35,UASB granular sludge,Mixed Consortia,ABR,24,2.47,https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2022.978907/full ​
81,Brewery wastewater,Industrial Wastewater,"25,000",25,5.5,37,Anaerobic baffled sludge,Mixed Consortia,ABR,12,1.85,https://www.sciencedirect.com/science/article/pii/S1026918522000853 ​
82,Food waste hydrolysate,Food & Municipal Waste,"35,000",35,6,37,Clostridium pasteurianum,Pure Strain,Batch,48,1.04,https://www.sciencedirect.com/science/article/abs/pii/S0961953424004057 ​
83,High-solid food waste,Food & Municipal Waste,"40,000",40,5.7,55,Thermophilic sludge,Mixed Consortia,Batch,120,0.85,https://www.sciencedirect.com/science/article/abs/pii/S0045653521021275 ​
84,Cheese whey,Sugar & Dairy By-products,"28,000",28,5.5,35,Heat-pretreated sludge,Mixed Consortia,CSTR,24,3.023,https://pmc.ncbi.nlm.nih.gov/articles/PMC9485808/ ​
85,Rice husk hydrolysate,Lignocellulosic/Agri-Residue,"15,000",15,6,37,Mixed lignocellulose sludge,Mixed Consortia,Batch,72,1.32,https://www.sciencedirect.com/science/article/abs/pii/S0360319923024588 ​
86,Paper industry effluent,Industrial Wastewater,"32,000",32,5.8,35,Paper mill anaerobic sludge,Mixed Consortia,UASB,8,26.856,https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2022.978907/full ​
87,Fruit processing waste,Food & Municipal Waste,"22,000",22,5.6,37,Fruit waste sludge,Mixed Consortia,Batch,96,1.95,https://pmc.ncbi.nlm.nih.gov/articles/PMC12197811/ ​
88,Corn stover hydrolysate,Lignocellulosic/Agri-Residue,"28,000",28,6.1,55,Thermophilic consortia,Mixed Consortia,CSTR,48,2.05,https://www.sciencedirect.com/science/article/abs/pii/S0045653521021275 ​
89,Olive mill wastewater,Industrial Wastewater,"45,000",45,5.4,35,Olive sludge consortia,Mixed Consortia,ABR,24,1.35,https://www.sciencedirect.com/science/article/pii/S0360319923039010 ​
90,Starch wastewater,Industrial Wastewater,"18,000",18,5.9,37,Starch-adapted sludge,Mixed Consortia,Continuous,12,2.75,https://discovery.researcher.life/article/insights-into-biohydrogen-production-through-dark-fermentation-of-food-waste-substrate ​
91,Banana peel waste,Food & Municipal Waste,"26,000",26,5.7,37,Banana waste sludge,Mixed Consortia,Batch,72,1.55,https://pmc.ncbi.nlm.nih.gov/articles/PMC11511797/ ​
92,Soybean residue,Food & Municipal Waste,"34,000",34,6,35,Soybean fermentation sludge,Mixed Consortia,Batch,120,1.12,https://www.sciencedirect.com/science/article/pii/S1026918522000853 ​
93,Glycerol waste,Sugar & Dairy By-products,"20,000",20,5.5,37,Glycerol-acclimated sludge,Mixed Consortia,CSTR,24,2.42,https://www.sciencedirect.com/science/article/abs/pii/S0961953424004057 ​
94,Beet molasses,Sugar & Dairy By-products,"42,000",42,5.8,35,Molasses anaerobic sludge,Mixed Consortia,UASB,16,7.338,https://pmc.ncbi.nlm.nih.gov/articles/PMC9485808/ ​
95,Microalgae biomass,Food & Municipal Waste,"16,000",16,6.2,37,Algal sludge consortia,Mixed Consortia,Batch,96,1.68,https://www.sciencedirect.com/science/article/abs/pii/S0360319923024588 ​
96,Poultry slaughter waste,Food & Municipal Waste,"38,000",38,5.6,55,Poultry waste sludge,Mixed Consortia,Batch,72,1.45,https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2022.978907/full ​
97,Wheat bran hydrolysate,Lignocellulosic/Agri-Residue,"24,000",24,5.9,37,Wheat-adapted consortia,Mixed Consortia,Continuous,36,2.18,https://pmc.ncbi.nlm.nih.gov/articles/PMC12197811/ ​
98,Dairy effluent,Industrial Wastewater,"29,000",29,5.7,35,Dairy anaerobic sludge,Mixed Consortia,ABR,24,1.92,https://www.sciencedirect.com/science/article/pii/S0360319923039010 ​
99,Bagasse hydrolysate,Lignocellulosic/Agri-Residue,"21,000",21,6,37,Bagasse sludge,Mixed Consortia,Batch,48,1.76,https://discovery.researcher.life/article/insights-into-biohydrogen-production-through-dark-fermentation-of-food-waste-substrate ​
100,Vegetable waste mix,Food & Municipal Waste,"31,000",31,5.5,37,Vegetable compost sludge,Mixed Consortia,CSTR,72,1.38,https://pmc.ncbi.nlm.nih.gov/articles/PMC11511797/
